,distance,force
0,294.2326354980469,-294.232666015625
1,234.71214294433594,95.38117980957031
2,255.48924255371094,-195.8789825439453
3,315.23675537109375,-164.00717163085938
4,93.64875030517578,29.976272583007812
5,253.34901428222656,-630.965576171875
6,74.56517791748047,251.66908264160156
7,278.7758483886719,-493.5578918457031
8,378.21533203125,-440.3755798339844
9,178.86012268066406,-877.8536376953125
10,80.86964416503906,-283.2306213378906
11,258.812744140625,-131.22686767578125
12,207.39764404296875,-772.8252563476562
13,329.87786865234375,-482.30126953125
14,337.57110595703125,-472.2624206542969
15,294.2496643066406,132.69076538085938
16,234.55050659179688,424.8869934082031
17,255.6475830078125,177.9991455078125
18,315.2994384765625,169.97250366210938
19,93.99992370605469,-185.40103149414062
20,253.01324462890625,-542.8865966796875
21,74.4056167602539,337.96026611328125
22,278.73602294921875,-418.29498291015625
23,378.40252685546875,-353.7757263183594
24,178.68960571289062,-877.2199096679688
25,81.06712341308594,-282.8411865234375
26,258.5712890625,-128.96499633789062
27,207.4881134033203,-772.1818237304688
28,330.1441345214844,-482.20458984375
29,337.4222106933594,-471.02813720703125
30,294.22064208984375,133.3785400390625
31,234.50909423828125,424.0501708984375
32,255.6025390625,178.099853515625
33,315.2381896972656,169.29385375976562
34,94.07882690429688,-185.19845581054688
35,253.04098510742188,-542.3621826171875
36,74.40087127685547,338.56512451171875
37,278.7248840332031,-417.74285888671875
38,378.3895568847656,-353.1783752441406
39,178.7214813232422,-877.3045654296875
40,81.05056762695312,-282.8539123535156
41,258.41363525390625,-128.53146362304688
42,207.48439025878906,-772.2694702148438
43,330.09063720703125,-482.1443786621094
44,337.2474670410156,-470.6064758300781
45,294.2380065917969,133.33523559570312
46,234.46713256835938,423.98565673828125
47,255.53741455078125,178.09530639648438
48,315.265625,168.89920043945312
49,94.28764343261719,-184.93414306640625
50,252.9823760986328,-542.2399291992188
51,74.4692153930664,338.37548828125
52,278.77392578125,-417.4736633300781
53,378.5699768066406,-353.14996337890625
54,178.5919952392578,-877.0499877929688
55,81.11094665527344,-282.81646728515625
56,258.4189453125,-127.86415100097656
57,207.48773193359375,-771.906494140625
58,330.1573486328125,-482.2043762207031
59,337.2729187011719,-470.4725036621094
60,294.13800048828125,133.82876586914062
61,234.39183044433594,423.477783203125
62,255.48631286621094,178.18223571777344
63,315.2931213378906,168.87179565429688
64,94.90151977539062,-184.70498657226562
65,253.0615234375,-542.1160278320312
66,74.46748352050781,338.8540954589844
67,278.7948913574219,-417.30218505859375
68,378.982421875,-352.897705078125
69,178.6763153076172,-877.3373413085938
70,81.2266616821289,-282.9013366699219
71,258.4263916015625,-126.89389038085938
72,207.50135803222656,-772.02099609375
73,330.5459289550781,-482.7886962890625
74,337.3843078613281,-469.62420654296875
75,293.86273193359375,135.70526123046875
76,234.1696319580078,423.4059753417969
77,255.48828125,178.95199584960938
78,314.9158630371094,169.10459899902344
79,95.40238952636719,-185.38204956054688
80,252.6772003173828,-540.5087280273438
81,74.21295928955078,339.7490539550781
82,278.41827392578125,-416.102783203125
83,379.0973815917969,-351.6786193847656
84,178.555908203125,-876.4266967773438
85,81.0623550415039,-282.1958312988281
86,258.3229675292969,-124.76213073730469
87,207.3036346435547,-771.4329223632812
88,330.89141845703125,-482.43475341796875
89,337.058837890625,-467.3536376953125
90,293.7221374511719,136.58103942871094
91,234.06417846679688,422.87567138671875
92,255.34597778320312,179.214111328125
93,314.90667724609375,168.44528198242188
94,95.7518310546875,-186.48129272460938
95,252.58326721191406,-539.8323364257812
96,74.18009948730469,340.0270690917969
97,278.4439697265625,-415.6502990722656
98,379.287353515625,-351.23699951171875
99,178.4935760498047,-876.0601806640625
100,81.15316009521484,-282.1083679199219
101,258.3833923339844,-124.30986022949219
102,207.373291015625,-771.2310180664062
103,331.05963134765625,-482.55889892578125
104,337.1692810058594,-467.29974365234375
105,293.68780517578125,137.2107696533203
106,233.91151428222656,423.281982421875
107,255.33834838867188,179.5583038330078
108,314.83807373046875,168.88134765625
109,96.36463928222656,-189.08059692382812
110,252.4376678466797,-539.5701904296875
111,74.20098114013672,340.0483093261719
112,278.33514404296875,-415.0872802734375
113,379.884521484375,-351.5860595703125
114,178.33108520507812,-875.7529296875
115,81.23328399658203,-281.9249267578125
116,258.6918640136719,-123.070556640625
117,207.2334442138672,-770.5244750976562
118,331.65380859375,-483.1776123046875
119,337.50933837890625,-466.3977966308594
120,293.67529296875,139.1858673095703
121,233.80166625976562,423.70965576171875
122,255.2382354736328,180.69583129882812
123,314.7884216308594,169.2646484375
124,96.68904876708984,-191.24343872070312
125,252.4183349609375,-539.1693115234375
126,74.2556381225586,340.29962158203125
127,278.34442138671875,-414.63092041015625
128,380.19622802734375,-351.1075439453125
129,178.25469970703125,-875.6729736328125
130,81.29156494140625,-281.93719482421875
131,258.7818908691406,-122.43446350097656
132,207.21009826660156,-770.2449951171875
133,331.86053466796875,-483.4794921875
134,337.629638671875,-466.11541748046875
135,293.6951599121094,140.11398315429688
136,233.47073364257812,423.99163818359375
137,254.97605895996094,180.57525634765625
138,314.2972412109375,169.33169555664062
139,96.70068359375,-194.57896423339844
140,252.54286193847656,-539.8194580078125
141,74.29912567138672,339.9029846191406
142,278.5060729980469,-415.47003173828125
143,380.4219970703125,-350.4324951171875
144,178.32574462890625,-876.1412353515625
145,81.11680603027344,-281.5667419433594
146,258.8533020019531,-122.18207550048828
147,207.36575317382812,-770.8792114257812
148,331.89642333984375,-483.2047424316406
149,337.4930114746094,-466.0350646972656
150,293.6297302246094,140.21075439453125
151,233.3387908935547,423.8199157714844
152,254.95071411132812,180.32003784179688
153,314.09716796875,169.56956481933594
154,96.7878189086914,-194.73388671875
155,252.5673065185547,-539.9246826171875
156,74.29554748535156,340.0858459472656
157,278.46533203125,-415.5665283203125
158,380.45916748046875,-350.029052734375
159,178.35781860351562,-876.3568115234375
160,81.05152130126953,-281.2896423339844
161,258.7795715332031,-121.7728500366211
162,207.30043029785156,-770.9667358398438
163,331.96942138671875,-483.168212890625
164,337.3564453125,-465.3006286621094
165,293.4552917480469,140.7285614013672
166,233.06849670410156,423.7635803222656
167,254.78077697753906,180.2433624267578
168,313.7853698730469,169.30967712402344
169,97.34315490722656,-189.61842346191406
170,252.45228576660156,-539.7603149414062
171,74.23999786376953,340.0030212402344
172,278.5621337890625,-415.8367004394531
173,380.5474548339844,-347.9981384277344
174,178.29928588867188,-876.1016845703125
175,80.98927307128906,-280.55584716796875
176,258.1647033691406,-118.75817108154297
177,207.43084716796875,-771.0753173828125
178,331.9378356933594,-482.409912109375
179,336.5594787597656,-463.08807373046875
180,293.4036865234375,140.56533813476562
181,233.00872802734375,422.0396728515625
182,254.73255920410156,179.57904052734375
183,313.7604675292969,167.4348602294922
184,97.43029022216797,-190.74014282226562
185,252.41558837890625,-538.9403076171875
186,74.23973083496094,340.74017333984375
187,278.6484069824219,-415.0143737792969
188,380.60400390625,-347.70062255859375
189,178.2633514404297,-875.9882202148438
190,81.01539611816406,-280.3201904296875
191,258.2055358886719,-118.63658142089844
192,207.51226806640625,-771.0911254882812
193,331.999267578125,-482.31109619140625
194,336.5929870605469,-463.16986083984375
195,293.27911376953125,140.9015655517578
196,232.9061737060547,422.45086669921875
197,254.7539520263672,179.9412384033203
198,313.0064392089844,168.14984130859375
199,97.56656646728516,-195.79888916015625
200,252.31834411621094,-538.7852783203125
201,74.2980728149414,340.88714599609375
202,278.6405944824219,-415.5428161621094
203,380.9162292480469,-347.1775207519531
204,178.11888122558594,-875.7990112304688
205,80.33243560791016,-278.46600341796875
206,258.88482666015625,-118.17481994628906
207,207.3202667236328,-771.4302978515625
