frame,x,y,radius
36,394.0,114.5,16.0
37,104.8,201.0,16.799999999999997
37,67.32,102.68,13.999999999999996
37,334.32,310.24,16.0
37,324.0,385.0,15.0
37,318.22,137.3,14.5
37,389.68,119.82,16.0
38,101.0,201.0,13.0
38,62.0,108.0,14.0
38,331.8,311.76,16.0
38,324.0,385.0,15.0
38,320.5,133.5,14.5
38,388.92,121.34,16.0
39,107.32,197.96,13.0
39,66.8,102.44,14.0
39,333.32,311.0,16.0
39,320.96,385.0,15.0
39,320.5,133.5,14.5
39,389.44,119.82,16.0
40,106.57,201.76,15.270000000000003
40,66.28,100.64,14.0
40,332.05,311.0,19.05000000000001
40,324.0,386.0,15.0
40,320.5,133.5,14.5
40,388.68,120.58000000000001,16.0
41,104.28,201.0,13.0
41,69.08,99.88,14.0
41,331.04,313.04,16.0
41,324.0,386.0,15.0
41,315.18,137.3,14.5
41,389.68,121.1,16.0
42,105.26,201.0,14.5
42,70.36,100.64,14.0
42,334.84,313.04,16.0
42,324.0,386.0,15.0
42,319.74,137.3,14.5
42,389.44,120.58000000000001,16.0
43,108.32,201.0,13.0
43,66.56,99.64,14.0
43,334.08,311.52,16.0
43,320.96,386.0,15.0
43,319.5,134.5,14.5
43,387.4,122.1,16.0
44,107.56,201.76,13.0
44,68.08,96.84,14.0
44,333.32,310.76,16.0
44,325.0,386.0,15.0
44,319.5,134.5,14.5
44,387.68,123.1,16.0
45,108.94999999999999,200.24,14.149999999999999
45,68.08,96.84,14.0
45,333.32,312.28,16.0
45,324.0,386.0,15.0
45,319.5,134.5,14.5
45,387.16,122.86000000000001,16.0
46,108.93,200.24,15.649999999999999
46,68.84,96.84,14.0
46,332.8,312.52,16.0
46,322.48,386.0,15.0
46,319.5,134.5,14.5
46,387.92,122.86000000000001,16.0
47,109.32,201.0,13.0
47,68.84,96.6,14.0
47,334.32,311.0,16.0
47,324.0,386.0,15.0
47,319.5,133.5,14.5
47,387.16,122.86000000000001,16.0
48,109.56,201.76,13.0
48,71.12,94.84,14.000000000000004
48,332.56,310.76,16.0
48,324.0,386.0,15.0
48,319.5,134.5,14.5
48,385.88,123.62,16.0
49,109.56,201.0,13.0
49,68.84,94.56,14.0
49,334.84,310.76,16.0
49,323.0,386.0,15.0
49,319.5,134.5,14.5
49,388.16,122.1,16.0
50,111.08,201.0,13.0
50,69.84,95.08,14.0
50,334.32,311.76,16.0
50,323.0,386.0,15.0
50,319.5,134.5,14.5
50,387.16,122.62,16.0
51,110.32,201.0,13.0
51,69.6,94.08,13.999999999999996
51,333.56,313.04,16.0
51,323.0,386.0,15.0
51,319.5,134.5,14.5
51,387.92,123.62,16.0
52,109.04,201.0,13.0
52,69.6,93.32,13.999999999999996
52,334.32,312.28,16.0
52,321.72,386.0,15.0
52,319.5,134.5,14.5
52,385.64,122.1,16.0
53,110.94,201.0,14.899999999999999
53,69.6,93.32,13.999999999999996
53,334.32,311.76,16.0
53,319.44,383.72,15.0
53,319.5,134.5,14.5
53,386.4,120.58000000000001,16.0
54,109.8,201.76,13.0
54,68.84,94.08,14.0
54,335.08,312.52,16.0
54,323.0,386.0,15.0
54,319.5,134.5,14.5
54,384.88,123.38,16.0
55,111.32,200.24,13.0
55,68.08,92.04,14.0
55,335.08,312.52,16.0
55,323.0,386.0,15.0
55,316.46,136.02,14.5
55,384.88,122.86000000000001,16.0
56,110.56,201.0,13.0
56,68.84,92.04,14.0
56,334.32,312.52,16.0
56,320.2,385.24,15.0
56,319.5,134.5,14.5
56,387.16,122.86000000000001,16.0
57,110.8,201.0,13.0
57,65.8,92.8,14.0
57,334.32,313.28,16.0
57,319.96,385.76,15.0
57,317.22,136.78,14.5
57,386.4,122.62,16.0
58,110.41,201.0,14.909999999999997
58,68.08,93.32,14.0
58,336.08,312.52,16.0
58,319.2,385.0,15.0
58,318.74,136.78,14.5
58,386.4,122.62,16.0
59,107.0,201.0,13.0
59,68.08,94.84,14.0
59,329.0,311.0,16.0
59,323.0,386.0,15.0
59,316.46,136.02,14.5
59,387.16,123.38,16.0
60,108.52,201.0,13.0
60,69.08,90.28,14.0
60,335.08,312.52,16.0
60,318.96,385.0,15.0
60,319.5,134.5,14.5
60,384.36,121.34,16.0
61,112.32,201.0,13.0
61,68.08,91.04,14.0
61,335.84,313.28,16.0
61,323.0,385.0,15.0
61,319.5,134.5,14.5
61,382.84,123.62,16.0
62,112.56,201.0,13.0
